Dijkstra;Type:Full;Vertices:10;16;;;;;;;;;;;;;;;;;;;;;;;Дейкстра;Флойд-Уоршелл;Беллманн-Форд;А-star;;
Ford-Bellman;Type:Full;Vertices:810;5388610;;;;;;;;;;;;;;;;;;;;;;Vertices:910;25873;10980;;;;
Ford-Bellman;Type:Full;Vertices:860;6425710;;;;;;;;;;;;;;;;;;;;;;Vertices:960;28655;12012;;;;
Ford-Bellman;Type:Full;Vertices:910;7617640;;;;;;;;;;;;;;;;;;;;;;Vertices:1010;31263;12757;;;;
Ford-Bellman;Type:Full;Vertices:960;8990760;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ford-Bellman;Type:Full;Vertices:1010;10454500;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A-star;Type:Full;Vertices:10;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A-star;Type:Full;Vertices:60;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A-star;Type:Full;Vertices:110;314;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A-star;Type:Full;Vertices:160;597;;;;;;;;;;;A-star при полном графе;;;;;;;;;;;;;;;;;
A-star;Type:Full;Vertices:210;955;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A-star;Type:Full;Vertices:260;1289;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A-star;Type:Full;Vertices:310;1678;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A-star;Type:Full;Vertices:360;2488;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A-star;Type:Full;Vertices:410;2708;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A-star;Type:Full;Vertices:460;3345;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A-star;Type:Full;Vertices:510;4029;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A-star;Type:Full;Vertices:560;4570;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A-star;Type:Full;Vertices:610;5448;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A-star;Type:Full;Vertices:660;6189;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A-star;Type:Full;Vertices:710;7049;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A-star;Type:Full;Vertices:760;7731;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A-star;Type:Full;Vertices:810;9217;;;;;;;;;;;;;;;;;;;;;;;;;;;;
